互联网数据中心-199IT | 发现数据的价值-199IT | 中文互联网数据研究资讯中心-199IT,	(function(){document.write(unescape('%3Cdiv id="b,	http://www.199it.com
神州租车财报：2017年上半年神州租车净利润3.8亿元 同比下降 64% | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	神州租车发布了2017上半年财报，报告显示，公司总营收达36.1亿元，同比增长22%，实现净利润3,	http://www.199it.com/archives/623369.html
宋城演艺财报：2017上半年宋城演艺净利润5.24亿元 同比增长21.17% | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	宋城演艺发布2017年半年度报告，数据显示，报告期内宋城演艺司实现营业总收入13.93亿元，比去,	http://www.199it.com/archives/623358.html
《权力的游戏》第7季第五集收视率再创纪录 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	《权力的游戏》第七季第5集“东海望”中，琼恩雪诺终于摸到了龙，这也预示着预言正在一步步成真，雪诺,	http://www.199it.com/archives/623359.html
大数据在疾病间建立起惊人联系 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	利用来自近13万个家庭的48多万人的健康保险数据，芝加哥大学的研究人员根据疾病在遗传相关个体中发,	http://www.199it.com/archives/622024.html
美团点评研究院：学生暑假消费趋势大数据报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【学生暑假消费趋势大数据报告】即可七,	http://www.199it.com/archives/618821.html
大数据分析：最难的不是分析，而是大数据 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	每一个企业需要将他们的基础数据进行分析和甄别，在此基础上，对数据进行不同层次和结构的分类。原因如,	http://www.199it.com/archives/614339.html
今日头条：特斯拉Model3竞品报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【特斯拉Model3竞品报告】即可如,	http://www.199it.com/archives/623103.html
Strategy Analytics：VR购买前试用用例最引人入胜 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	作为一个提供无与伦比沉浸式体验的互动媒介，虚拟现实（VR）使用户可以体验、预览并且逃离现实。受“,	http://www.199it.com/archives/622359.html
中怡康：2017年7月中国OTT电视盒子销量排名 小米拿下第一 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	今天上午，雷军在微博分享了中怡康的统计，显示7月中国线上销售，小米盒子排名第一，销量占比高达38,	http://www.199it.com/archives/620277.html
CIC：2017年中国社会化媒体格局图 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	Kantar Media CIC的中国社交媒体景观是行业的着名标杆，自2008年推出以来不断发展,	http://www.199it.com/archives/622877.html
comScore：2016年美国聚焦未来跨平台分析报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	                                                ,	http://www.199it.com/archives/520643.html
CNNIC：即时通信成为移动互联网时代核心流量入口 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	即时通信已经取代搜索引擎成为移动互联网时代新的核心流量入口。根据中国互联网络信息中心（CNNIC）,	http://www.199it.com/archives/621867.html
HOTELS：2017年全球酒店集团325强 中国三家挺进前十 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	全球酒店行业权威媒体美国《HOTELS》杂志公布2016年度“全球酒店集团325强”的最新排名。,	http://www.199it.com/archives/622976.html
国航牵手旅游极客大赛　你还不来？ | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	以航空旅行为主题的极客大赛，怎能少了航空公司？作为中国最大的航空公司之一，国航将作为战略合作伙伴,	http://www.199it.com/archives/622944.html
艾瑞咨询：2017年中国第三方支付市场监测报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017年中国第三方支付市场监测报告,	http://www.199it.com/archives/622798.html
Simply Measured：2016年顶级品牌社交媒体营销报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	199IT原创编译Simply Measured调查了全球顶级品牌在各大社交网站营销情况，调查发,	http://www.199it.com/archives/498107.html
Adobe：75%的印度智能手机用户希望看到定制网络广告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	        199IT原创编译        印度消费者对定制广告更感兴趣。今年二月，Ado,	http://www.199it.com/archives/621512.html
CounterPoint：过去十年iPhone为苹果创造2500亿美元利润 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	iPhone 的意义已经远远超出了智能手机的范畴，它不仅是一款划时代的智能手机，它还是历史上所有,	http://www.199it.com/archives/622956.html
CounterPoint：过去十年iPhone给苹果带来7750亿美元收入 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	199IT原创编译2007年6月29日，苹果开始销售其标志性智能手机“iPhone”，iPho,	http://www.199it.com/archives/621090.html
CNNIC：网络音乐市场加速整合 企业版权布局持续推进 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	根据中国互联网络信息中心（CNNIC）最新发布的第40次《中国互联网络发展状况统计报告》，截至20,	http://www.199it.com/archives/623002.html
『中国单身人数达到2亿人相当于俄英人口总和』今日数据行业日报（2017.08.16） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	汽车数据全自动驾驶的未来：先进汽车技术消费者需求调查今日头条：特斯拉Model3竞品报告（附下,	http://www.199it.com/archives/623348.html
『中国品牌占第二季度全球智能手机出货量48%』今日数据行业日报（2017.08.15） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	游戏娱乐Newzoo：2017年全球电子竞技市场报告2017年全球票房最高十大导演盘点勾正数,	http://www.199it.com/archives/622940.html
『预计2017年中国出境游支出达2.3万亿人民币』今日数据行业日报（2017.08.14） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	平台研究尼尔森网联：2016年OTT用户研究报告comScore：2016年美国聚焦未来跨平台,	http://www.199it.com/archives/622325.html
极光大数据：网络招聘app研究报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【网络招聘app研究报告】即可199,	http://www.199it.com/archives/622677.html
猎聘网：2017年Q2人才供需报告 互联网行业平均年薪排第二 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	本文来自 猎聘网，内容为《2017年二季度人岗争夺战及职场流动力大数据报告》；36氪经授权发布。,	http://www.199it.com/archives/622503.html
新千禧一代只会吃和聊天? 他们正驱动着9万亿美元的市场 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	据Business Insider（BI）报道，“千禧一代”并非只知道吃牛油果吐司和在Snap上,	http://www.199it.com/archives/623070.html
360：2017年Q2汽车行业大数据研究报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	                                              19,	http://www.199it.com/archives/623280.html
德勤咨询：中国在北美和欧洲地区海外M&A项目趋势和预测（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【海外M&A项目趋势和预测】即可本报,	http://www.199it.com/archives/623130.html
中国零售业：智慧开启未来 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	普华永道发布最新《中国零售业，智慧开启未来——零售商和品牌商如何创新才能在世界上最具活力的零售市场,	http://www.199it.com/archives/622901.html
勾正数据：2017年上半年智能电视大数据报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	            199IT小密圈已有1400+资深用户、3000+份最新最好的行业文档，,	http://www.199it.com/archives/622885.html
Newzoo：2017年全球电子竞技市场报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	199IT原创编译Newzoo发布了“2017年全球电子竞技市场报告”。电子竞技已经发展为一个,	http://www.199it.com/archives/621736.html
普华永道：IFRS9银行业披露示例 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	距离《国际财务报告准则第9号：金融工具》（IFRS 9）实施的日子（2018年1月1日）已不足半年,	http://www.199it.com/archives/622700.html
今日头条：2017房产行业用户数据报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017房产行业用户数据报告】即可,	http://www.199it.com/archives/622629.html
中国单身人数达到2亿人相当于俄英人口总和 有害经济 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	港媒称，中国内地单身成年人的数量已经相当于俄罗斯和英国全部人口的总和，企业发现从数量庞大的年轻和,	http://www.199it.com/archives/623104.html
CNNIC：网络视频使用率达75.2% 行业新生态逐步建立 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	根据中国互联网络信息中心（CNNIC）最新发布的第40次《中国互联网络发展状况统计报告》，截至20,	http://www.199it.com/archives/622996.html
易车财报：2017年Q2易车净利润2.25亿元 同比增长69.2% | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	易车控股有限公司（纽交所股票代码：BITA）今天发布了其截至2017年6月30日的2017财年第,	http://www.199it.com/archives/622995.html
2017年铁路旅游消费报告 暑运预计发送旅客近6亿人次 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	今年发布的《2017铁路旅游消费报告》显示，愈加完善的铁路服务系统和更加频繁的城际铁路联通，加速了,	http://www.199it.com/archives/622983.html
避暑山庄财报：2017年上半年避暑山庄营业收入916.43万元 同比上升209.11% | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	承德避暑山庄旅游股份有限公司（以下简称“避暑山庄 ”）发布的2017年度半年报称，2017年上半年,	http://www.199it.com/archives/622982.html
2017年上半年中国赴东南亚游客突破1000万人次 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	2017年上半年我国赴日本人数超过328.17万人次，同比增长6.67%。相较过去两年动辄超过20,	http://www.199it.com/archives/622963.html
ARWU：2017年全球世界大学学术TOP 500 中国57所高校入围 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	今天（15日）晨间，全球四大高校排名系统之一世界大学学术排名（ARWU），发布了第15版也就是2,	http://www.199it.com/archives/622961.html
日本文部科学省：中国在化学和工学等四个领域位居全球首位 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	日本文部科学省科学技术与学术政策研究所最近发布的日本国内外研究动向调查显示，在科学研究领域，呈现,	http://www.199it.com/archives/622950.html
2017年全球票房最高十大导演盘点 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	一部《战狼2》点燃了中国电影暑期档。截止8月13日18点31分36秒，《战狼2》总票房突破45亿,	http://www.199it.com/archives/622465.html
CounterPoint：中国品牌占第二季度全球智能手机出货量48% | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	199IT原创编译2017年第二季度，全球智能手机出货量同比增长3%。随着新款iPhone和其他,	http://www.199it.com/archives/620476.html
阿拉丁：2017年Q2微信小程序监测数据&指数榜单 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	小程序统计平台阿拉丁发布Q2季度微信小程序报告，目前该平台已经汇集1万名开发者。根据该平台监测的数,	http://www.199it.com/archives/622403.html
投中：2017年7月中国VCPE市场数据报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017年7月中国VCPE市场数据报,	http://www.199it.com/archives/622701.html
极光大数据：珠海长隆海洋王国园区研究报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【珠海长隆海洋王国园区研究报告】即可,	http://www.199it.com/archives/622775.html
投中：2017年7月A股定向增发数据报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017年7月A股定向增发数据报告】,	http://www.199it.com/archives/622636.html
Glassdoor：2017年IT行业最赚钱十大岗位 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	如果问你现在薪水最高的岗位，你会回答在哪个行业，金融、地产还是IT？不管是国外还是国内，IT行业,	http://www.199it.com/archives/622472.html
YouGov：84%的美国人认为大学学费过高 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	        199IT原创编译        1/3的美国大学生是家庭中第一个上大学的人。绝,	http://www.199it.com/archives/619506.html
尼尔森网联：2016年OTT用户研究报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	目前OTT市场刚刚兴起，用户初次尝试购买的比例可能会高，所以对于品牌实力、硬件、技术这些都会很关注,	http://www.199it.com/archives/481253.html
360：2017科技消费电子中产人群洞察 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	还以为科技消费类电子产品仅是男人的专属？Naive，女人同样爱科技！科技消费电子中产人群画像如何，,	http://www.199it.com/archives/622174.html
今日头条：2017年上半年手机类资讯内容消费报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017年上半年手机类资讯内容消费报,	http://www.199it.com/archives/622123.html
偶像的资本论：2017中国明星店发展研究报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	引 言在消费升级的浪潮下，审美导向、价值观契合的新型个性化消费主张已经走向前台，成为共识。打着新,	http://www.199it.com/archives/622284.html
2017百度上门服务行业报告 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	2015年，O2O可谓当红炸子鸡，吸引大批入局者，火爆之时，大有互联网席卷一切线下生意的气势。两年,	http://www.199it.com/archives/622092.html
商务部：2017年第二季度中国便利店景气指数 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	商务部发布了2017年第二季度《中国便利店景气指数报告》。根据《报告》显示，2017年第二季度便利,	http://www.199it.com/archives/622086.html
2017上半年消费力十强城市榜 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	上半年经济数据显示，消费对经济增长贡献达到63.4%。消费对经济增长的贡献愈加凸显，而一个城市的,	http://www.199it.com/archives/622083.html
易凯资本：2017中美人工智能产业玩家图谱（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017中美人工智能产业玩家图谱】即,	http://www.199it.com/archives/622108.html
艾瑞咨询：2017年中国移动端新闻资讯行业报告（附下载） | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	报告下载：添加199IT官方微信【i199it】，回复关键词【2017年中国移动端新闻资讯行业报告,	http://www.199it.com/archives/622215.html
TAK：2016年中国游客在首都大区的消费总额高达2.14亿欧元 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	据芬兰媒体近日报道，2016年赴芬兰的中国游客人数大幅增长，中国游客人均消费额居各国游客之首。,	http://www.199it.com/archives/622073.html
预计2017年中国出境游支出达2.3万亿人民币 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	英媒称，面对经济情势趋稳、办理出境手续流程减化，以及低价市场吸引小城镇居民迈出第一次出境旅行，中,	http://www.199it.com/archives/622069.html
eMarketer：预计2017年西欧网络旅游销售额达到1416.8亿美元 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	        199IT原创编译        根据eMarketer的最新预测，2017年，,	http://www.199it.com/archives/620375.html
巴克莱：没人愿意花1000多美元购买iPhone | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	苹果CEO库克巴克莱在最新研报中表示，只有11%的受访者愿意花1000多美元购买iPhone，更,	http://www.199it.com/archives/622063.html
BI：调查显示买齐苹果所有转换头需5700元 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	iPhone对于全球手机工业一直起着灯塔的作用，很多标准、工业设计预言、技术革新往往需要苹果的推,	http://www.199it.com/archives/622047.html
研究显示千禧一代将改变外出就餐习惯 | 互联网数据中心-199IT | 中文互联网数据研究资讯中心-199IT,	据外媒报道，千禧一代对饮食有着不同于父辈的方式，他们喜欢外出就餐然后拍照分享到社交媒体平台上生怕,	http://www.199it.com/archives/622045.html
