荐书 | 第一本触及中国平台经济核心议题的图书上线-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20961.html
高红冰：关于平台经济发展趋势的6个判断-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20964.html
商评｜陈威如：如何利用平台思维帮助企业创新转型（节选）-资讯-阿里研究院,	第一本触及中国平台经济核心议题的图书，名家云集，推荐阅读！>>>购书请点,	http://www.aliresearch.com/blog/article/detail/id/20962.html
DT观察 | DT化进程持续展开：未来十年科技是什么样子？-资讯-阿里研究院,	约100年前的1910年，有感于曼哈顿的灯火通明，美国意象派诗人埃兹拉-庞德这样赞颂新奇的电力：“,	http://www.aliresearch.com/blog/article/detail/id/20908.html
阿里农产品电子商务白皮书(2015)-资讯-阿里研究院,	阿里农产品电子商务白皮书（2015）,	http://www.aliresearch.com/blog/article/detail/id/20897.html
电商园区研究报告：全国园区突破1000家-资讯-阿里研究院,	2016年4月6日-8日，第三届电子商务园区峰会将在洛阳市举办。阿里研究院与伟雅网商俱乐部联合发布,	http://www.aliresearch.com/blog/article/detail/id/20892.html
云栖智库发布《中国云栖创新报告》绘就中国创新年度图谱-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20790.html
阿里研究院第二届学术委员会成立，30位专家助力阿里智囊团升级-资讯-阿里研究院,	
	8月10日，阿里研究院第二届学术委员会第一次会议在北京阿里总部举行，30位来自经济、技术、法律,	http://www.aliresearch.com/blog/article/detail/id/21031.html
阿里商业评论 | 海尔、京东和阿里巴巴的物流实践-资讯-阿里研究院,	 ,	http://www.aliresearch.com/blog/article/detail/id/19635.html
少年“菜鸟”的双11冒险-资讯-阿里研究院,	
	想象一下，你明天准备上网下单购买的一件商品，在一周前就已经备货在了距离你家最近的仓库，甚至可能,	http://www.aliresearch.com/blog/article/detail/id/19903.html
阿里研究院酒狸：为什么总理如此强调“互联网+物流”？-资讯-阿里研究院,	文 | 阿里研究院物流研究专家 酒狸,	http://www.aliresearch.com/blog/article/detail/id/21016.html
2013年中国快递行业分析报告-资讯-阿里研究院,	
	快递行业近年来受到电子商务的良性发展也进入了飞速发展的时期。国内快递行业也是从以前的中国邮政一,	http://www.aliresearch.com/blog/article/detail/id/18780.html
电商物流从业人员研究报告：从业人员超过203万-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20922.html
高红冰：从中美共享单车差异，看数字经济与金融创新-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21338.html
高红冰：小企业是连接世界贸易的新主体和新动力-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21337.html
阿里研究院院长高红冰：电子商务对普惠发展的三大价值-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21315.html
高红冰：创新需要包容的环境和面向未来的视角-资讯-阿里研究院,	导语,	http://www.aliresearch.com/blog/article/detail/id/21287.html
高红冰：实体店零售不会消亡 但技术、商业模式和空间地理布局将巨变-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21283.html
高红冰：共享经济发展的三个层次及其核心-资讯-阿里研究院,	导语：6月13日，由菜鸟网络举办的全球智慧物流峰会在杭州举行。在大会上，阿里巴巴集团副总裁、阿里研,	http://www.aliresearch.com/blog/article/detail/id/20972.html
高红冰：建立适合平台经济发展的新治理体系-资讯-阿里研究院,	【导语】新技术、新应用、新理念、新模式不断出现，昭示商业和管理的巨变。互联网技术推动了平台经济的发,	http://www.aliresearch.com/blog/article/detail/id/20969.html
阿里巴巴周岚：阿里巴巴跨境电商的实践与构想-资讯-阿里研究院,	
	6月11日，中国（杭州）跨境电子商务综合试验区、对外经济贸易大学、埃森哲（中国）有限公司、阿里,	http://www.aliresearch.com/blog/article/detail/id/20483.html
阿里研究院受邀参加联合国电子商务测度研讨-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21318.html
24张PPT解读农村电商普惠发展-资讯-阿里研究院,	 ,	http://www.aliresearch.com/blog/article/detail/id/21317.html
中国电商普惠发展知多少？一张图告诉你！-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21312.html
马云联合国会议现场点赞 央视专题报道 这位农民网商是谁？-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21311.html
阿里研究院出席联合国电商周 中国电商普惠发展经验出海-资讯-阿里研究院,	—阿里研究院参加联合国电子商务周系列报道之一,	http://www.aliresearch.com/blog/article/detail/id/21309.html
网商记之五：精彩全收藏—九份网商报告核心图式-资讯-阿里研究院,	文 | 宋斐 阿里研究院,	http://www.aliresearch.com/blog/article/detail/id/21346.html
网商记之四：历年优秀网商做对了什么？-资讯-阿里研究院,	 网商记之四：历年优秀网商做对了什么？,	http://www.aliresearch.com/blog/article/detail/id/21344.html
网商记之三：十多年来网商卖出了什么？-资讯-阿里研究院,	网商记：最大商帮进化论,	http://www.aliresearch.com/blog/article/detail/id/21335.html
网商记之二：网商报告预测对了什么？-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21332.html
网商记 之一：全球最大商帮发展之路-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21329.html
阿里商业评论 | 爱贝丽：“诚信经营赚口碑，才有可能长久经营”-资讯-阿里研究院,	本文首发于《阿里商业评论》，本期为《阿里商业评论》特刊。,	http://www.aliresearch.com/blog/article/detail/id/19723.html
阿里商业评论 | 倪亮：阿里巴巴互联网诚信体系建设的“安全三境界”-资讯-阿里研究院,	本文首发于《阿里商业评论》，本期为《阿里商业评论》特刊。,	http://www.aliresearch.com/blog/article/detail/id/19729.html
《网规研究通讯》第2期-资讯-阿里研究院,	网规研究通讯第二期（论文集）.pdf,	http://www.aliresearch.com/blog/article/detail/id/14316.html
《大数据开启打假新时代》—— 2014年度中国电子商务打假前沿报告-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20068.html
远见2046 | 对话人工智能：2016年是“人工智障”年？（附视频）-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21229.html
远见2046 | 卡内基梅隆大学教授：未来的人机互动需要更多人类属性（附视频）-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21228.html
远见2046 | 薛兆丰：互联网经济治理四问（附视频）-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21227.html
远见2046 | 世界经济论坛(WEF)大中华区首席代表：新智库助推新经济-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21224.html
远见2046 | 这是一场 “伟大的、荒唐的、争议的”的未来对话-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。会上，,	http://www.aliresearch.com/blog/article/detail/id/21223.html
远见2046 | 图解BCG最新报告：未来就业在哪里？-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21222.html
远见2046 | 蒙古骑兵、坦克、蓝血人和肚脐眼：听大咖谈未来工作-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21221.html
远见2046 | 阿里集团总裁金建杭：有一种力量可以穿透经济雾霾-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21220.html
远见2046 | 25张PPT：麦肯锡全球研究院院长为你解读数字革命新浪潮-资讯-阿里研究院,	
	2017年1月7日，由阿里研究院主办的“远见2046—第二届新经济智库大会”在北京举行。大会以,	http://www.aliresearch.com/blog/article/detail/id/21216.html
波士顿咨询：2035年中国数字经济就业容量超过4亿-资讯-阿里研究院,	
	2017年1月10日，波士顿咨询公司发布了《迈向2035：4亿数字经济就业的未来》报告。报告预,	http://www.aliresearch.com/blog/article/detail/id/21215.html
《中国淘宝村研究报告（2016）》-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21242.html
菏泽、睢宁分获2017年和2018年中国淘宝村高峰论坛举办权-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21226.html
中国淘宝村高峰论坛举办地招募启动-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21178.html
专家观点 | 这么多的“坑”，淘宝村怎么跨过去的？-资讯-阿里研究院,	
	目前全国淘宝村突破1000个、淘宝镇突破100个、淘宝村服务的消费者突破2亿人。从无到有，从星,	http://www.aliresearch.com/blog/article/detail/id/21137.html
专家观点 | 淘宝村风起云涌，未来究竟何去何从？-资讯-阿里研究院,	
	随着电商的迅猛发展，以淘宝村为代表的新型城镇化不断推进，从2013年20个到2016年1300,	http://www.aliresearch.com/blog/article/detail/id/21135.html
世界银行点赞中国淘宝村-资讯-阿里研究院,	
	2016年10月29-30日，以“新乡村、新经济”为主题的第四届中国淘宝村高峰论坛在江苏沭阳隆,	http://www.aliresearch.com/blog/article/detail/id/21133.html
阿里集团总裁金建杭：淘宝村将再造中国的乡村文明-资讯-阿里研究院,	
	2016年10月29-30日，以“新乡村、新经济”为主题的第四届中国淘宝村高峰论坛在江苏沭阳隆,	http://www.aliresearch.com/blog/article/detail/id/21131.html
张圣琳：台湾农业文创经验—“e农”崛起-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21331.html
农业有了自己的奥斯卡！阿里研究院与新农堂评出杰出新农人-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21310.html
中国农产品品牌网络声誉50强发布 茶叶占得近半壁江山-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21307.html
​第二届农产品电商峰会50位专家支招农产品电商发展  大会呈现六大亮点-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21306.html
在线报名 | 第二届中国农产品电商峰会相约云南红河-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21301.html
淘宝店App外包商求转型 欲告别免费时代-资讯-阿里研究院,	
	大多数淘宝店铺App都采用自动生成模式
,	http://www.aliresearch.com/blog/article/detail/id/17792.html
揭秘台湾电商：C2C割据下的小品牌激战-资讯-阿里研究院,	请登录后发表评论,	http://www.aliresearch.com/blog/article/detail/id/17632.html
2013年欧洲服装B2C电子商务发展现状-资讯-阿里研究院,	请登录后发表评论,	http://www.aliresearch.com/blog/article/detail/id/18330.html
GORE-TEX：高调的“隐形”冠军-资讯-阿里研究院,	请登录后发表评论,	http://www.aliresearch.com/blog/article/detail/id/17020.html
阿里研究中心诚聘助理实习生-资讯-阿里研究院,	请登录后发表评论,	http://www.aliresearch.com/blog/article/detail/id/13303.html
DT观察 | DT给我们生活带来哪些变革？这些新特征必须知道！-资讯-阿里研究院,	约100年前的1910年，有感于曼哈顿的灯火通明，美国意象派诗人埃兹拉-庞德这样赞颂新奇的电力：“,	http://www.aliresearch.com/blog/article/detail/id/20911.html
《2013年中国城市电子商务发展指数报告》正式发布-资讯-阿里研究院,	
	2014年6月4日， 阿里研究院发布《2013年中国城市电子商务发展指数报告》。在报告中，根据,	http://www.aliresearch.com/blog/article/detail/id/19221.html
一张图看懂2015年中央一号文件（附全文）-资讯-阿里研究院,	
	中共中央、国务院近日印发了《关于加大改革创新力度加快农业现代化建设的若干意见》。文件中都有哪些,	http://www.aliresearch.com/blog/article/detail/id/20150.html
信息经济前景报告No.4-涌现与扩展：电子商务20年-资讯-阿里研究院,	
	信息经济、电子商务的发展，是由边缘力量引发的巨大变革。当下数以千万计的网商以及互联网环境下数以,	http://www.aliresearch.com/blog/article/detail/id/20188.html
内需的力量：双11看中国消费增长新引擎-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20696.html
贝恩咨询：“互联网+品牌”时代到来-资讯-阿里研究院,	
	2015年11月9日，国际咨询机构贝恩发布了《2015年中国电子商务市场研究报告》。在这份主题,	http://www.aliresearch.com/blog/article/detail/id/20707.html
互联网生态逻辑下导购型APP的生存之道（节选）-资讯-阿里研究院,	
	原文作者：张维宁 长江商学院副教授、杨谷川 长江商学院案例中心研究员
本文为节选，更多精彩内,	http://www.aliresearch.com/blog/article/detail/id/20555.html
大数据时代的三大发展趋势和投资方向-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/15427.html
大数据时代的“五维政府”（完整版）-资讯-阿里研究院,	文 | 阿里研究院 高红冰 田丰,	http://www.aliresearch.com/blog/article/detail/id/20511.html
【世界杯，富了谁？】系列数据解读之“小组赛季”-资讯-阿里研究院,	 ,	http://www.aliresearch.com/blog/article/detail/id/19384.html
ADEC深度解读：云计算，为了无法计算的价值-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/20677.html
杨建辉：中国民法典应成为数字经济时代的民法典-资讯-阿里研究院,	
	 
	,	http://www.aliresearch.com/blog/article/detail/id/21284.html
阿拉木斯：从摩拜单车看电商立法的细节式鸿沟-资讯-阿里研究院,	
	文 | 网规研究中心主任 阿拉木斯
,	http://www.aliresearch.com/blog/article/detail/id/21233.html
主流经济学家批电商法滞后：好比谈恋爱要先领证-资讯-阿里研究院,	
	2016年12月25日公布的《中华人民共和国电子商务法草案》公开征求意见截止日临近，业界广泛关,	http://www.aliresearch.com/blog/article/detail/id/21219.html
聂东明：互联网治理的出路到底是什么？-资讯-阿里研究院,	
	11月27日，由中国信息通信研究院安全研究所和中国人民大学出版社共同举办的《互联网治理全球博弈,	http://www.aliresearch.com/blog/article/detail/id/21174.html
阿里研究院受邀参加2016中国竞争政策论坛-资讯-阿里研究院,	
	2016年10月27日至28日，由国务院反垄断委员会专家咨询组主办，对外经济贸易大学竞争法中心,	http://www.aliresearch.com/blog/article/detail/id/21140.html
互联网志愿者研究报告发布：网络“大众评审员”已超百万（附报告下载）-资讯-阿里研究院,	
	10月10日，阿里巴巴在杭州召开首届互联网志愿者大会并发布《阿里巴巴生态系统互联网志愿者研究报,	http://www.aliresearch.com/blog/article/detail/id/21096.html
阿里研究院聂东明：人工智能或将彻底颠覆人类现行法律体系-资讯-阿里研究院,	
	文 | 阿里研究院 聂东明
,	http://www.aliresearch.com/blog/article/detail/id/21090.html
解析炒信系列（三）：外在与内生规则的治理-资讯-阿里研究院,	
	“炒信”是一种“不正当竞争行为”，网络交易中的不正当竞争行为，是传统交易不正当竞争行为在网络交,	http://www.aliresearch.com/blog/article/detail/id/21038.html
杨建辉：地方政策设计是网约车新规落地的第二只靴子-资讯-阿里研究院,	
	       在网约车获得合法地位第三天后，滴滴出行就宣布与Uber全球达成战略协议，相互持股,	http://www.aliresearch.com/blog/article/detail/id/21035.html
潘永花：从数据共享开放看DT时代的政府治理创新-资讯-阿里研究院,	
	算法+数据+计算，是人工智能可以崛起的三大要素。
,	http://www.aliresearch.com/blog/article/detail/id/21330.html
《智慧建筑白皮书》：建筑将成为拥有“大脑”的智慧平台（附报告全文）-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21291.html
云栖案例 | 大侠健康：健康管理探索未来医疗新模式-资讯-阿里研究院,	
	未来的健康照护模式，已经打破了空间和时间的限制。医学诊断和健康照顾正在演化为全人全程的信息跟踪,	http://www.aliresearch.com/blog/article/detail/id/21274.html
云栖案例 | 小硅片与大数据的结合 ——协鑫光伏的新制造之路-资讯-阿里研究院,	
	协鑫光伏坐落在环境优美的苏州工业园区，是全球领先的光伏材料制造商，硅片产品占国内流通硅片的70,	http://www.aliresearch.com/blog/article/detail/id/21263.html
阿里研究院潘永花：大数据将成为新的煤和石油-资讯-阿里研究院,	请登录后发表评论,	http://www.aliresearch.com/blog/article/detail/id/21262.html
30张PPT解读“AI+”时代，人工智能影响力微报告发布-资讯-阿里研究院,	
	通过以下30张PPT了解《AI+:2016人工智能影响力微报告》——
,	http://www.aliresearch.com/blog/article/detail/id/21240.html
绿茵双咖：快乐足球，原创至上 | 云栖双创案例-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21231.html
2017年大数据向左走，向右走？且看阿里数据经济研究中心六位大咖怎么看-资讯-阿里研究院,	
	2016年的市场热点从大数据已经过渡到了人工智能，但大数据、计算能力和算法这三大要素结合在一起,	http://www.aliresearch.com/blog/article/detail/id/21230.html
DT时代的“工业互联网”：所有业务都将跑在云上-资讯-阿里研究院,	
	DT时代，互联网与传统工业的深度融合是必然的趋势，互联网技术必将给传统工业带来颠覆性革命。本文,	http://www.aliresearch.com/blog/article/detail/id/21203.html
数字经济高端论坛 | 数字经济大咖聚焦探讨信息革命新趋势-资讯-阿里研究院,	
	伴随着人工智能、VR/AR、自动驾驶汽车、机器人、区块链等技术创新方向几乎成为众多科技企业重度,	http://www.aliresearch.com/blog/article/detail/id/21193.html
阿里研究院参加中美智库经贸战略对话-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21336.html
“一带一路”跨境电商大扫描：中国剁手党网购最多的商品竟来自这5国-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21314.html
报告：eWTP助力“一带一路”建设——阿里巴巴经济体的实践-资讯-阿里研究院,	,	http://www.aliresearch.com/blog/article/detail/id/21305.html
阿里研究院：数据开放与政府治理创新-资讯-阿里研究院,	
	潘永花
,	http://www.aliresearch.com/blog/article/detail/id/20632.html
